"id","identifier","googlePlaceId","lat","lng","name","country","city","province","streetAndNumber","zip","businessId","addressExtra"
3591859,"PT001091","ChIJS2l69XI7GQ0RzUFenVdRgjw",38.750692,-8.96069744,"ALDI Alcochete","PT","Alcochete","Setúbal","Avenida Sociedade Imparcial 15 de Janeiro 1898 112","2890-512",1460040,NA
3591860,"PT001083","ChIJmcA4AI81GQ0RfVVrv8VAxMg",38.66327307,-9.16215472,"ALDI Laranjeiro","PT","Almada","Setúbal","Alameda de Guerra Junqueiro 2","2814-583",1460040,"Laranjeiro"
3591861,"PT001087","ChIJV-u-_Z4ZEA0RCkfMlDeIOKs",37.18087674,-7.49771629,"ALDI Altura","PT","Altura","Faro","N125 125","8950-411",1460040,"Estrada Nacional N.º"
3591862,"PT001090","ChIJ_dy5ekdFHw0RTqjO3oAAVYQ",39.3650926,-9.37964669,"ALDI Peniche","PT","Peniche","Leiria","Rua d'Azeredo Perdigão","2520-267",1460040,NA
3591863,"916040848","ChIJD8cX-ZYDGA0RgajBBxkCdZo",38.46494775,-9.09840994,"ALDI Sesimbra","PT","Santana","Setúbal","Rua Jorge de Castilho","2970-857",1460040,NA
3591864,"PT001107","ChIJMZvRe4j7PA0R689HxTaTsoY",40.55513717,-7.24728519,"ALDI Guarda","PT","Guarda","Guarda","Rua do Facheiro 5","6300-833",1460040,NA
3591865,"PT001123","ChIJEW7KFRf3Gg0RY2glKzdszqE",37.65280729,-8.23194027,"ALDI Ourique","PT","Ourique","Beja District","Cerca de São Lourenço, Estrada de Garvão","7670-253",1460040,NA
3591866,"PT001104","ChIJeT8TP2cjPQ0RETbxEPTrP5M",40.2664756,-7.5047717,"ALDI Covilhã","PT","Covilhã","Castelo Branco","Alameda Pêro da Covilhã","6200-507",1460040,NA
3591867,"916300597","ChIJ4XZX_ahjJA0RYjUbdt6FmGo",41.13891126,-8.53229877,"ALDI São Cosme","PT","S. Cosme","Porto","Avenida 25 de Abril 222","4420-356",1460040,NA
3591868,"916300963","ChIJG6Ne2P5LJA0RuJLb9UKOQNs",41.5395669,-8.7803898,"ALDI Esposende","PT","Esposende","Braga","Rua da Anta 2","4740-574",1460040,NA
3591869,"916040160","ChIJqbYd0G8tGQ0R-jlvhXO214M",38.8078034,-9.156426,"ALDI Flamenga - Loures","PT","Loures","Lisboa","Rua Almirante Gago Coutinho 102","2660-038",1460040,"Flamenga"
3591870,"916304784","ChIJWUo3PEB7JA0R52oI4nGtm5A",41.0819076,-8.6002319,"ALDI Canelas","PT","Canelas","Porto","Rua Delfim Lima 2161","4410-226",1460040,NA
3591871,"916038278","ChIJEefylOEkHw0RftykyDWanvo",39.09193001,-9.26715604,"ALDI Torres Vedras","PT","Torres Vedras","Lisboa","Bairro de Santo António","2560-261",1460040,"Casal de Alpilhão"
3591872,"916206677","ChIJXwQyHKlFJA0R2cX4V4bXU2w",41.3631186,-8.7475144,"ALDI Vila do Conde","PT","Vila do Conde","Porto","Rua 5 de Outubro 1327","4480-666",1460040,NA
3591873,"916041082","ChIJY2AlDJ0OIg0R-sFVq_pxifE",39.7491453,-8.9256048,"ALDI Marinha Grande","PT","Marinha Grande","Leiria","Avenida Vitor Gallo 123","2430-171",1460040,NA
3591874,"916309277","ChIJkVcg15QzGQ0Rg0WTlquAdvA",38.73129086,-9.1499208,"ALDI Picoas","PT","Lisboa","Lisboa","Rua Filipe Folque 10","1050-999",1460040,NA
3591875,"916039035","ChIJoxmMPLvZGA0RrWS8GlmXacw",39.02973737,-8.98107016,"ALDI Carregado","PT","Carregado","Lisboa","Quinta de Alconchel","2580-491",1460040,NA
