"tipoTienda","tieneFolleto","especial","codigoProvincia","codigoTienda","idTienda","posicionX","fechaVigenciaFolleto","posicionY"
0,TRUE,FALSE,11,7013,1001518,"38.73383","18/01/2023","-9.20491"
0,TRUE,FALSE,10,7014,1001519,"39.96557","18/01/2023","-8.79109"
0,TRUE,FALSE,18,8126,1001919,"40.99097","18/01/2023","-7.39124"
0,TRUE,FALSE,6,8132,1001925,"40.34601","18/01/2023","-8.592047"
0,TRUE,FALSE,4,8134,1001927,"41.5371203","18/01/2023","-6.95952"
0,TRUE,FALSE,18,8802,1001997,"40.72416","18/01/2023","-8.11222"
0,TRUE,FALSE,18,8803,1001998,"40.73445","18/01/2023","-8.17477"
0,TRUE,FALSE,18,8804,1001999,"40.76327","18/01/2023","-8.06495"
0,TRUE,FALSE,18,8805,1002000,"40.51881","18/01/2023","-8.08198"
0,TRUE,FALSE,3,8806,1002001,"41.378198","18/01/2023","-8.30938"
0,TRUE,FALSE,11,9655,1002115,"38.7899507","18/01/2023","-9.1213402"
0,TRUE,FALSE,11,9660,1002120,"38.759225","18/01/2023","-9.137511111"
0,TRUE,FALSE,11,9661,1002121,"38.763","18/01/2023","-9.256527778"
0,TRUE,FALSE,11,9662,1002122,"38.73092222","18/01/2023","-9.137736111"
0,TRUE,FALSE,11,9663,1002123,"38.748927778","18/01/2023","-9.22755"
0,TRUE,FALSE,11,9664,1002124,"38.80288056","18/01/2023","-9.380466667"
0,TRUE,FALSE,11,9668,1002128,"38.78806056","18/01/2023","-9.178805556"
0,TRUE,FALSE,11,9679,1002139,"38.776501","18/01/2023","-9.163177"
0,TRUE,FALSE,11,9680,1002140,"38.7697652","18/01/2023","-9.297657"
0,TRUE,FALSE,11,9681,1002141,"38.7218","18/01/2023","-9.129505556"
0,TRUE,FALSE,11,9684,1002144,"38.74893611","18/01/2023","-9.211661111"
0,TRUE,FALSE,11,9685,1002145,"38.74143611","18/01/2023","-9.206886111"
0,TRUE,FALSE,11,9687,1002147,"38.737331","18/01/2023","-9.14193"
0,TRUE,FALSE,11,9692,1002152,"38.764194444","18/01/2023","-9.118611111"
0,FALSE,FALSE,11,9694,1002154,"38.756125",NA,"-9.202869444"
0,TRUE,FALSE,11,9697,1002157,"38.768024","18/01/2023","-9.215073"
0,TRUE,FALSE,11,9700,1002160,"38.77588611","18/01/2023","-9.102091667"
0,TRUE,FALSE,11,9707,1002166,"38.770848","18/01/2023","-9.112791"
0,TRUE,FALSE,11,9708,1002167,"38.79816944","18/01/2023","-9.145375"
0,TRUE,FALSE,11,9709,1002168,"38.75227222","18/01/2023","-9.114591667"
0,TRUE,FALSE,11,9711,1002170,"38.79504167","18/01/2023","-9.329947222"
0,TRUE,FALSE,15,9713,1002172,"38.645175","18/01/2023","-9.037011111"
0,TRUE,FALSE,15,9714,1002173,"38.66495833","18/01/2023","-9.188827778"
0,TRUE,FALSE,15,9716,1002175,"38.01935278","18/01/2023","-8.695219444"
0,TRUE,FALSE,15,9718,1002177,"37.957765","18/01/2023","-8.864346"
0,TRUE,FALSE,11,9720,1002179,"38.87605833","18/01/2023","-9.081811111"
0,TRUE,FALSE,15,9727,1002186,"38.66691389","18/01/2023","-9.186608333"
0,TRUE,FALSE,11,9728,1002187,"38.79278056","18/01/2023","-9.173544444"
0,TRUE,FALSE,11,9734,1002193,"38.74758333","18/01/2023","-9.2179"
0,TRUE,FALSE,11,9740,1002197,"38.761433333","18/01/2023","-9.233783333"
0,TRUE,FALSE,8,9744,1002200,"37.06876111","18/01/2023","-8.106558333"
0,TRUE,FALSE,15,9747,1002203,"38.64699444","18/01/2023","-9.184391667"
0,TRUE,FALSE,11,9748,1002204,"38.75680278","18/01/2023","-9.276725"
0,TRUE,FALSE,11,9755,1002209,"38.74360278","18/01/2023","-9.11305"
0,TRUE,FALSE,11,9756,1002210,"38.786111111","18/01/2023","-9.322222222"
0,TRUE,FALSE,11,9758,1002212,"38.73880278","18/01/2023","-9.152544444"
0,TRUE,FALSE,11,9761,1002215,"38.73149444","18/01/2023","-9.141291667"
0,TRUE,FALSE,11,9762,1002216,"38.77290278","18/01/2023","-9.161633333"
0,TRUE,FALSE,11,9765,1002219,"38.79676944","18/01/2023","-9.172633333"
0,TRUE,FALSE,2,9766,1002220,"37.87467","18/01/2023","-8.16746"
0,TRUE,FALSE,14,9769,1002222,"39.35691111","18/01/2023","-8.481202778"
0,TRUE,FALSE,11,9770,1002223,"39.13125278","18/01/2023","-9.381738889"
0,TRUE,FALSE,11,9774,1002226,"38.7436","18/01/2023","-9.175380556"
0,TRUE,FALSE,11,9776,1002228,"38.724872222","18/01/2023","-9.143730556"
0,TRUE,FALSE,11,9777,1002229,"38.797211111","18/01/2023","-9.191505556"
0,TRUE,FALSE,15,9779,1002230,"38.622052778","18/01/2023","-9.125977778"
0,TRUE,FALSE,3,8809,1002004,"41.40937","18/01/2023","-8.51922"
0,TRUE,FALSE,17,8810,1002005,"41.50079","18/01/2023","-7.64642"
0,FALSE,FALSE,17,8811,1002006,"41.83072",NA,"-7.7845"
0,TRUE,FALSE,4,8814,1002009,"41.80374","18/01/2023","-6.76039"
0,TRUE,FALSE,1,8815,1002010,"40.64275","18/01/2023","-8.64768"
0,TRUE,FALSE,4,8818,1002013,"41.8364","18/01/2023","-7.01029"
0,TRUE,FALSE,1,8821,1002015,"40.61473","18/01/2023","-8.73403"
0,TRUE,FALSE,1,8822,1002016,"40.60093","18/01/2023","-8.66689"
0,TRUE,FALSE,1,8823,1002017,"40.57234","18/01/2023","-8.44463"
0,TRUE,FALSE,18,8826,1002020,"41.096569","18/01/2023","-7.80919"
0,TRUE,FALSE,13,8828,1002022,"41.15042","18/01/2023","-8.61166"
0,TRUE,FALSE,4,8829,1002023,"41.792819","18/01/2023","-6.769231"
0,TRUE,FALSE,13,8833,1002026,"41.116423","18/01/2023","-8.606324"
0,TRUE,FALSE,1,8835,1002027,"40.635124","18/01/2023","-8.649075"
0,TRUE,FALSE,16,8838,1002028,"41.940234","18/01/2023","-8.73995"
0,TRUE,FALSE,13,8841,1002030,"41.15748","18/01/2023","-8.680926"
0,TRUE,FALSE,13,8842,1002031,"41.207682","18/01/2023","-8.332389"
0,TRUE,FALSE,3,8843,1002032,"41.554966","18/01/2023","-8.423646"
0,TRUE,FALSE,3,8846,1002035,"41.545195","18/01/2023","-8.412585"
0,TRUE,FALSE,3,8848,1002037,"41.535528","18/01/2023","-8.615547"
0,TRUE,FALSE,13,8850,1002039,"41.149657","18/01/2023","-8.620604"
0,FALSE,FALSE,18,8851,1002040,"40.6617351",NA,"-7.9154339"
0,TRUE,FALSE,16,8914,1002054,"41.704344","18/01/2023","-8.849622"
0,TRUE,FALSE,15,9605,1002065,"38.67969167","18/01/2023","-9.157569444"
0,TRUE,FALSE,11,9611,1002071,"38.70480556","18/01/2023","-9.181275"
0,TRUE,FALSE,15,9613,1002073,"38.64916111","18/01/2023","-9.144680556"
0,TRUE,FALSE,15,9614,1002074,"38.660339","18/01/2023","-9.079413"
0,TRUE,FALSE,11,9617,1002077,"38.73531389","18/01/2023","-9.133233333"
0,TRUE,FALSE,11,9620,1002080,"38.738091667","18/01/2023","-9.124716667"
0,TRUE,FALSE,11,9621,1002081,"38.72625","18/01/2023","-9.118736111"
0,TRUE,FALSE,11,9624,1002084,"38.7520526","18/01/2023","-9.2777889"
0,TRUE,FALSE,15,9625,1002085,"38.65988611","18/01/2023","-9.062752778"
0,TRUE,FALSE,15,9631,1002091,"38.52516111","18/01/2023","-8.865852778"
0,TRUE,FALSE,15,9636,1002096,"38.6245728","18/01/2023","-9.1249164"
0,TRUE,FALSE,11,9639,1002099,"38.704818","18/01/2023","-9.386989"
0,TRUE,FALSE,15,9642,1002102,"38.661305556","18/01/2023","-9.050277778"
0,TRUE,FALSE,11,9650,1002110,"38.78401389","18/01/2023","-9.323116667"
0,TRUE,FALSE,15,9652,1002112,"38.62577222","18/01/2023","-9.115419444"
0,TRUE,FALSE,10,7702,1001683,"39.671075","18/01/2023","-8.995004"
0,TRUE,FALSE,15,7704,1001685,"38.65435556","18/01/2023","-9.161225"
